"year","sim","spp1","spp10","spp11","spp12","spp13","spp14","spp15","spp16","spp17","spp18","spp19","spp2","spp20","spp3","spp4","spp5","spp6","spp7","spp8","spp9"
16,1,1105.67904690777,890.864529764668,744.333158348309,1245.44160424141,1355.42622173876,1268.67660357794,1062.02174508332,904.670736747316,715.814591321928,1030.92537614857,868.50216045817,913.304091474548,1467.47766397235,1403.64469428347,819.016932214832,1728.05470089405,1218.00529138292,742.112656807771,982.830871762037,959.989422231326
17,1,1335.02679196946,861.320164312209,820.734378120382,907.048696812606,664.303564593444,1673.37244496672,1333.15550508772,838.485190720121,787.946677174166,771.301552406616,858.498053445026,807.192445598202,736.381492522411,1473.02013823332,911.545833288722,2140.24714196205,1295.40677882754,768.430831337344,939.395541158562,1348.04868030413
18,1,1522.73082888871,1113.78283735765,860.491386151716,901.661873072944,677.41462723822,1363.45167728532,1052.2904958083,910.433735772805,770.61551914288,950.572105830263,715.960703501858,1078.13216348386,867.043730233722,1470.80559217881,1263.46837126323,1276.81716594209,1219.57662289154,1068.37269767168,645.606738242548,1094.37191849169
19,1,1450.69044996541,1530.59191347695,1037.18290809267,874.014420949079,1085.10730415141,1505.33475242644,1101.24056175613,715.839845973209,646.208889684631,777.648080716985,757.977303606077,1075.79319590097,875.595348756821,1222.39791798599,898.677049532073,1137.52631837922,1198.67930032065,802.410859845632,796.227063435088,985.091422824358
20,1,1258.44488574499,1599.83284398296,961.021467964298,983.732190552988,1398.62144451806,1010.19079111814,940.389909100093,947.263346625031,460.345365717887,866.378616611618,1146.1148369898,1028.35331519622,848.039225580788,1238.08921479745,991.881076924338,999.05639954801,985.883838789911,1191.91644744857,988.658794398192,903.215453286495
21,1,824.959349686581,1954.83013718565,1152.84021746331,849.920676040087,1004.70530405475,1142.44344667654,868.107966289501,750.623116646969,615.485131505777,1605.49474238204,1514.8621426086,848.6881127811,968.897793742351,886.604830440639,631.888977357764,1168.58934594567,1031.54196631185,1005.94029605324,1232.62382064464,980.422739514502
22,1,1263.67302648552,1479.48172517308,1232.68769456702,1487.48067619412,1114.29696833297,781.012808111861,1051.65986156067,1380.96782373469,919.870408445551,1504.73539738699,877.375139540826,1105.83783571787,832.541989137619,775.990534733612,980.166169912363,1160.98892984274,1201.39408323502,1138.98997136168,1004.70039373348,1312.99116919244
23,1,1008.46342833565,967.30526254382,898.100009878248,1159.17880694113,978.829025490272,812.658073342217,979.625530333508,1128.02844401784,690.3930866027,1451.17867162913,989.957299223658,1295.0609813606,724.111450500858,779.939742075242,871.411151740242,1021.2097004985,1658.04407277444,776.411407141744,875.503839209459,1138.65466154463
24,1,876.082772930857,932.408103463971,852.619672665045,960.735054879024,1282.29614538788,1122.10501357544,1027.12534542014,930.531830008923,577.759726512384,1076.8128322047,950.264680866582,1243.26051449261,977.149135347309,837.689014128196,1051.21651508828,1105.84217149534,1250.29950633349,1186.9047207874,1131.30833732373,1021.24616416942
25,1,750.851368578788,1093.27647217885,1024.93713008434,831.594137875531,1141.83116880901,1083.04450444863,883.170278347921,1033.06318208037,688.948408749143,1243.19574100727,1084.30362617847,1130.12627534633,1057.39555707888,750.404788220201,794.892770713765,1063.77631868114,1339.85045759515,1128.79233943237,794.187405385095,921.953637266433
26,1,776.855700640401,742.40470792351,790.977127054206,763.04448196383,987.498836688276,960.648942952939,807.636160411348,1267.07572998015,802.504507508863,1166.63694845008,1699.69366811558,984.176328721391,1234.99575172429,845.663118513315,971.576061957761,1597.31306066637,1362.22640890212,934.55407440885,1241.12596495365,799.141419151191
